id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe
1,51,0,3,6,1,2,2,0,8,0,4621,1.0,112,2,1,1.4,90.81,-35.53,0.69,5219.74,0.0
2,50,7,2,4,0,2,1,0,5,0,4715,1.0,412,2,0,-1.8,96.33,-40.58,4.05,4974.79,1.0
3,48,1,3,3,1,1,1,0,4,2,171,0.0,1027,1,1,-1.8,96.33,-44.74,1.5,5022.61,0.0
4,26,2,1,4,2,2,2,0,8,4,359,23.0,998,0,0,1.4,97.08,-35.55,5.11,5222.87,1.0
5,45,0,1,5,1,1,1,0,11,1,3178,1.0,240,4,2,-3.4,89.82,-33.83,1.17,4884.7,0.0
6,47,4,2,0,1,1,1,0,7,3,817,1.0,10,3,0,1.4,94.58,-30.37,3.55,5257.02,0.0
7,33,9,2,4,1,2,1,0,8,0,76,2.0,1009,0,0,1.4,94.93,-35.12,4.74,5018.97,0.0
8,40,9,2,3,2,1,0,0,4,0,4391,23.0,934,4,2,1.4,94.44,-33.52,4.61,5452.31,0.0
9,47,7,2,4,1,1,1,0,8,3,161,0.0,959,0,0,1.4,95.4,-37.65,5.09,5358.8,0.0
10,53,3,2,0,1,1,1,0,8,4,2437,0.0,594,6,2,-2.9,93.17,-28.27,2.3,4988.07,1.0
11,37,6,2,5,1,1,1,1,6,0,2746,1.0,703,5,2,-1.7,92.83,-35.22,1.63,5333.01,1.0
12,55,3,2,5,1,1,1,0,7,2,384,1.0,980,0,0,1.4,91.85,-41.03,4.95,5254.24,0.0
13,36,9,1,6,1,2,2,0,8,3,135,0.0,1003,0,0,1.4,97.27,-36.6,4.88,5296.06,0.0
14,30,1,1,4,1,2,1,0,5,3,222,1.0,957,0,0,-1.8,92.7,-46.06,1.22,4900.23,0.0
15,52,3,3,1,1,2,1,0,7,0,50,4.0,1007,0,0,1.4,92.88,-41.84,4.79,4992.83,0.0
16,26,6,1,5,1,0,0,0,8,0,126,2.0,1025,1,1,-2.9,89.43,-30.2,0.88,5162.49,0.0
17,36,1,2,3,0,2,1,0,7,2,590,2.0,486,5,2,1.4,96.7,-31.39,1.21,5136.16,0.0
18,36,1,2,3,1,1,1,1,6,4,15,3.0,969,0,0,1.4,90.49,-41.08,4.88,5416.31,0.0
19,50,1,3,3,1,2,1,0,7,2,4526,0.0,124,4,0,1.4,97.27,-44.11,1.27,4915.69,0.0
20,27,0,1,5,1,2,1,0,5,2,45,2.0,744,0,0,-1.8,90.03,-29.23,1.17,5182.53,0.0
21,50,10,1,1,1,2,1,0,5,4,167,1.0,982,0,0,-1.8,93.07,-47.21,1.31,4920.63,0.0
22,48,7,2,4,0,2,1,1,5,3,232,2.0,966,0,0,1.1,96.15,-37.81,4.85,5263.67,0.0
23,72,5,2,3,1,2,1,0,10,3,4314,1.0,150,3,0,-3.4,89.02,-47.53,4.62,4987.11,1.0
24,67,9,2,1,0,1,2,1,12,0,164,20.0,957,0,0,-3.4,92.98,-27.57,0.75,4962.3,1.0
25,47,5,2,1,0,1,1,1,6,2,144,8.0,1024,0,0,1.4,96.16,-40.12,5.05,5447.68,0.0
26,46,4,2,1,0,1,2,1,5,4,261,3.0,1040,0,0,1.1,98.5,-35.96,5.04,5061.22,0.0
27,34,0,2,5,1,2,1,1,5,3,391,4.0,1012,0,0,1.1,91.83,-37.52,4.68,5279.24,0.0
28,38,9,3,5,1,1,1,0,7,0,2187,2.0,285,4,1,1.4,96.65,-33.5,3.44,5215.03,0.0
29,50,6,3,5,1,2,1,0,11,3,748,1.0,995,1,1,-0.1,91.05,-40.27,4.03,5232.17,0.0
30,35,2,1,3,1,1,1,0,11,2,5066,1.0,864,0,1,-0.1,94.95,-34.12,2.59,5085.17,0.0
31,98,1,2,3,1,2,2,0,12,0,5119,23.0,21,6,0,1.4,92.91,-46.43,2.75,5276.92,0.0
32,61,3,0,1,2,2,2,1,7,3,227,23.0,968,0,0,1.4,89.69,-44.49,4.74,5149.67,1.0
33,47,2,2,5,1,2,1,1,5,4,148,1.0,991,0,0,1.1,97.84,-36.32,4.74,5357.11,0.0
34,27,1,1,4,1,2,1,1,6,0,3187,2.0,451,1,1,1.4,94.74,-40.91,4.66,5285.26,0.0
35,66,0,3,5,1,2,1,0,8,2,216,3.0,5,2,2,-1.7,92.05,-39.06,0.91,5081.44,1.0
36,40,2,1,4,1,2,1,1,7,3,68,0.0,998,0,0,1.4,94.1,-42.87,5.0,5170.59,0.0
37,45,3,2,1,0,2,1,0,8,1,2212,0.0,723,5,1,1.4,93.18,-43.11,3.35,5221.69,0.0
38,52,3,2,5,1,2,1,1,5,3,63,1.0,1011,0,0,1.1,90.79,-37.96,4.75,5434.97,0.0
39,71,5,2,6,1,1,2,0,10,3,2028,0.0,36,3,0,-3.4,96.65,-40.58,0.78,4811.83,0.0
40,32,9,2,6,1,2,1,0,7,3,260,1.0,1016,0,0,1.4,91.94,-43.04,4.85,5113.08,1.0
